transaction_id,source,target,amount_SAT
0,03f94b8e82c3c9be8f8d1e3bcb595e2855b72f23b92967c26f7d65be9a75184c12,0381919e2e131f25a3288afb65c6d0c6fd4c37f878b70232c9fe2f10c16e406822,60000
1,03c61a2b4ee4bee4dd8ceafd7bb3d367f8fd7eabb5a868ddf7418ec295cef1a2b0,0391b71b1e30cce2f0e25dbe4ce848c19e159d1677a8368d1eb3e50a34d14f74f4,60000
2,03e9571b546b8b68cc2ec4963e24e578cc1f90ffeb490e8189d8e48975bd11f103,03b6711eaede09a2769e93e1d693c25e307a66cf0bdd5b7d16b8f252553652ac69,60000
3,03949914687fadf3bca1abe088db2b9a5bc105194a36f230f7e54e90e88d2dc0ec,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,60000
4,035e80f0763c67b8fdda709f63aa0697daf29729bc3e0e6ee9a83bc4fc41599cf1,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,60000
5,030a0a420f45edee67289989b105bccba3e0f5f7e498cbaf85ffb33a61ff217970,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,60000
6,031469d5375fcb2b90c0f37aad5724305902f23c7bcc3fe104d88d741e1baf8752,024c60141110ba650d2e70598d8e8362f22ff7db0cfa1d3bbd710ab5e18fbef87e,60000
7,020333076e35e398a0c14c8a0211563bbcdce5087cb300342cba09414e9b5f3605,0239e4dc85543cd84b712850072dc5e1bf0190c44b64dbe822581013f849a794a4,60000
8,03f3803e53c37646fed2e245cadeb464b085857b7deda79c01e3d6bbf5e610bb5f,032cdfe80bc7fa46ca879a367c2656d83e29cb5869153d95e598dd75d44d90f335,60000
9,02e551b28dd9642d8753ec2becc06e51e9cc7b8eb0e28daaead0f45690e8455f6e,0268095e71f2a77e9a21addc3a22d4c90e5318ac0eab0049b9060d24aea472b5b2,60000
10,020c27b1e99dce7b952757be0b0d7c42ab825270c4f8f7571a349624da408b2dc8,0239e4dc85543cd84b712850072dc5e1bf0190c44b64dbe822581013f849a794a4,60000
11,03bfb70bbc4b9440c16cb7f923800d1ba70ba265223cdc10e5153b9b5cecc84065,02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,60000
12,022d39c3b7d65836e7b7d113ddd48424353480f1ca143176a60ef56bc093f6aade,03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,60000
13,02dfe525d9c5b4bb52a55aa3d67115fa4a6326599c686dbd1083cffe0f45c114f8,02f6155b106a9f92a13738833ec7e25da58fab1fdef3ac085571c3984bb277d547,60000
14,0254d129259dfad537567ca9cf07c13bedacc5f936f8f7fc64d5626cd1ff7b8465,035ece5bb069d1fff9ba9fa3be5faf7b498188b9da08dc3b5aa99c31c9c77597ba,60000
15,032b9dd79393e4a31411b8e00e38917077f58c776ef420d8671531b948fc838997,02651fa5f3f6676c6f13d88b3ffd3101421cd3bd1773d4af92242c46f0f902ef39,60000
